duration,src_bytes,dst_bytes,count,dst_host_srv_count,labels
0,491,0,2,25,1
0,146,0,13,1,1
0,0,0,123,26,0
0,232,8153,5,255,1
0,199,420,30,255,1
0,0,0,121,19,0
0,0,0,166,9,0
0,0,0,117,15,0
0,0,0,270,23,0
0,0,0,133,13,0
0,0,0,205,12,0
0,0,0,199,13,0
0,287,2251,3,219,1
0,334,0,2,20,0
0,0,0,233,1,0
0,0,0,96,2,0
0,300,13788,8,255,1
0,18,0,1,16,0
0,233,616,3,255,1
0,343,1178,9,255,1
0,0,0,223,23,0
0,0,0,280,17,0
0,253,11905,8,255,1
5607,147,105,1,1,1
0,0,0,248,2,0
507,437,14421,1,25,1
0,0,0,279,13,0
0,227,6588,5,255,1
0,215,10499,14,255,1
0,241,1400,33,255,1
0,8,0,1,53,0
0,0,0,57,59,0
0,303,555,9,255,1
0,0,0,2,1,0
0,45,45,181,250,1
1,105,147,2,5,1
0,43,43,122,255,1
0,0,0,205,17,0
0,324,2302,22,255,1
0,0,0,228,13,0
0,0,0,50,63,0
0,0,0,262,9,0
2,1591,372,1,147,1
9052,146,105,4,2,1
0,290,3006,11,255,1
0,0,0,108,11,0
0,28,0,80,80,0
0,255,861,44,255,1
0,334,0,2,38,0
0,0,0,258,5,0
0,302,498,10,255,1
0,0,0,61,4,0
0,28,0,2,2,0
0,220,1398,26,255,1
0,43,69,120,245,1
0,44,133,73,212,1
0,8,0,1,46,0
0,0,0,135,11,0
0,0,0,24,59,0
0,43,43,148,255,1
0,641,0,2,48,1
0,0,0,206,4,0
0,0,0,175,1,0
0,310,2794,4,255,1
0,0,0,63,10,0
0,696,333,1,133,1
0,0,0,1,1,0
0,0,0,52,67,0
0,0,0,125,6,0
0,0,0,168,21,0
0,221,2878,1,58,1
0,0,0,145,31,0
0,181,0,3,93,1
0,42,42,9,83,1
0,0,0,138,6,0
0,12,0,1,47,1
0,0,0,276,9,0
0,210,2790,10,255,1
0,321,5683,10,255,1
0,0,0,248,8,0
0,329,3982,2,255,1
0,0,0,135,7,0
0,0,0,220,2,0
0,8,0,1,95,0
0,320,379,9,255,1
0,0,0,212,7,0
0,225,3762,10,255,1
0,0,0,250,1,0
0,0,0,132,15,0
315,146,105,3,2,1
0,247,1416,11,255,1
0,353,1483,3,255,1
0,44,44,109,254,1
0,0,0,146,10,0
0,0,0,300,3,0
2,3065,331,1,119,1
0,102,102,1,1,1
0,259,750,4,255,1
1082,147,105,2,2,1
0,0,0,129,12,0
0,0,354,32,255,1
0,309,306,1,255,1
0,0,0,1,247,1
0,278,7227,3,255,1
0,28,0,82,182,0
0,313,761,1,255,1
0,219,1212,15,255,1
0,245,9165,2,255,1
0,328,2243,21,255,1
0,0,0,1,249,1
0,251,301,3,252,1
0,2089,335,2,152,1
0,0,0,1,255,1
0,237,511,1,255,1
0,324,431,4,255,1
25950,1,0,2,2,0
0,0,0,110,17,0
0,105,145,4,239,1
0,218,974,6,255,1
0,325,2649,7,255,1
0,0,0,246,20,0
0,0,0,272,19,0
0,0,0,259,8,0
240,328,275,9,250,1
0,0,0,294,8,0
0,9,138,1,10,1
0,46,46,96,254,1
1,1079,334,1,167,1
0,45,139,79,254,1
26,273,903,1,49,1
0,0,0,190,20,0
0,0,0,135,1,0
0,237,138,2,2,1
0,225,1357,1,255,1
0,0,0,123,7,0
